Designator,Mid X,Mid Y,Rotation,Layer
D1_12,103.9748,-64.9026,180.0,top
D1_11,63.9748,-133.7026,180.0,top
D1_10,103.9748,-133.7026,180.0,top
D1_9,63.9748,-64.9026,180.0,top
D1_8,23.9748,-99.3026,180.0,top
D1_7,103.9748,-30.5026,180.0,top
D1_6,23.9748,-64.9026,180.0,top
D1_5,23.9748,-133.7026,180.0,top
D1_4,23.9748,-30.5026,180.0,top
D1_3,63.9748,-30.5026,180.0,top
D1_2,103.9748,-99.3026,180.0,top
D1,63.9748,-99.3026,180.0,top
R1_12,103.4988,-95.8886,180.0,top
R1_11,103.4988,-130.2886,180.0,top
R1_10,23.4988,-95.8886,180.0,top
R1_9,23.4988,-27.0886,180.0,top
R1_8,103.4988,-27.0886,180.0,top
R1_7,23.4988,-61.4886,180.0,top
R1_6,23.4988,-130.2886,180.0,top
R1_5,63.4988,-27.0886,180.0,top
R1_4,63.4988,-61.4886,180.0,top
R1_3,63.4988,-130.2886,180.0,top
R1_2,63.4988,-95.8886,180.0,top
R1,103.4988,-61.4886,180.0,top
R2_12,27.4988,-95.8886,0.0,top
R2_11,107.4988,-61.4886,0.0,top
R2_10,107.4988,-95.8886,0.0,top
R2_9,67.4988,-130.2886,0.0,top
R2_8,27.4988,-27.0886,0.0,top
R2_7,27.4988,-61.4886,0.0,top
R2_6,107.4988,-130.2886,0.0,top
R2_5,27.4988,-130.2886,0.0,top
R2_4,67.4988,-27.0886,0.0,top
R2_3,107.4988,-27.0886,0.0,top
R2_2,67.4988,-61.4886,0.0,top
R2,67.4988,-95.8886,0.0,top
U1_12,105.4988,-20.0886,0.0,top
U1_11,25.4988,-88.8886,0.0,top
U1_10,65.4988,-20.0886,0.0,top
U1_9,105.4988,-88.8886,0.0,top
U1_8,65.4988,-54.4886,0.0,top
U1_7,25.4988,-123.2886,0.0,top
U1_6,65.4988,-88.8886,0.0,top
U1_5,25.4988,-20.0886,0.0,top
U1_4,105.4988,-123.2886,0.0,top
U1_3,25.4988,-54.4886,0.0,top
U1_2,65.4988,-123.2886,0.0,top
U1,105.4988,-54.4886,0.0,top
